	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_2415_0.txt	2415	0	15.36846	15.80187	14.70711	15.6714	15.39562	15.50911	13.72651	15.41116	15.71822	15.2226	15.88342	14.41699	15.82099	16.24358	15.88353	15.92596	14.98557	15.46754	16.58623	15.36944	15.8488	15.54764	16.0635	15.88595	15.57261	14.23143	16.19265
alpha_rarefaction_2415_1.txt	2415	1	14.55096	16.10507	14.40951	15.85398	15.50633	15.64669	12.88078	15.97275	16.21163	15.37409	15.8137	14.71498	15.41413	16.62734	16.43987	16.30693	15.84958	15.90847	16.05718	15.83012	15.85034	15.76756	16.1548	16.42575	15.80838	14.59861	16.17028
alpha_rarefaction_2415_2.txt	2415	2	15.32883	15.97131	15.03212	15.80234	15.46861	15.38941	13.53133	15.89838	15.47495	15.78725	15.66264	14.93759	15.76142	16.58615	16.20808	16.46604	15.54792	15.58362	15.7546	16.3127	15.8393	15.66114	15.57166	16.35543	15.68559	14.00154	16.33704
alpha_rarefaction_2415_3.txt	2415	3	14.9402	15.65702	14.72702	16.07703	15.12928	15.95534	14.08071	15.77178	15.92655	15.9938	15.66521	14.94426	16.08599	16.59191	16.15992	16.03901	15.63661	16.05048	16.42725	16.3249	15.70074	15.5964	15.79057	16.02804	15.66663	14.97594	15.88382
alpha_rarefaction_2415_4.txt	2415	4	15.31734	16.06663	14.99883	16.11183	16.09189	15.09708	14.08347	15.81949	15.95499	15.40806	16.14516	14.73318	16.08414	16.42989	15.86458	16.00197	15.25409	15.92151	15.9912	15.937	15.55746	15.55591	16.1884	16.34794	15.90813	14.71017	16.48762
alpha_rarefaction_2415_5.txt	2415	5	14.68561	15.9573	14.01436	16.08451	15.78908	15.72494	14.09021	16.36555	15.49666	15.39458	15.44372	15.14585	15.88926	16.40502	15.96756	16.24956	15.69165	15.63642	16.42998	16.33173	15.62203	15.59743	15.53022	16.17109	16.05976	14.1976	16.36824
alpha_rarefaction_2415_6.txt	2415	6	15.80187	15.54869	15.48183	15.69573	15.76286	14.98612	13.82756	15.87993	15.89247	15.97867	16.03811	15.02992	16.19453	16.51403	15.46404	16.55212	15.38944	15.96204	16.40037	16.35516	15.54934	15.18808	15.78864	16.08909	15.26698	13.81509	16.64475
alpha_rarefaction_2415_7.txt	2415	7	14.81926	16.23893	14.6577	16.23724	15.45134	15.5237	13.78613	15.52675	15.60659	15.73923	15.41426	14.70781	16.03509	16.42751	15.62489	16.63921	15.916	15.80355	15.94502	15.29516	15.99786	15.70874	15.7149	15.26362	15.22881	14.50806	16.3741
alpha_rarefaction_2415_8.txt	2415	8	15.83053	15.74624	14.78994	16.26888	16.17614	15.20166	14.30376	16.30734	16.00967	14.97349	15.59666	14.42125	16.379	16.20598	15.36377	16.29627	15.8153	16.09286	16.22848	16.10554	16.0612	16.28075	15.81292	15.87736	15.35348	14.75148	16.58257
alpha_rarefaction_2415_9.txt	2415	9	14.79133	16.40469	14.89991	15.22193	16.06853	15.06837	14.64602	15.82501	16.23576	15.82009	16.28873	14.85147	15.76084	16.47676	15.54107	16.0546	15.40483	15.67753	15.8483	16.19336	15.52507	15.70589	15.88244	16.13838	15.70886	14.04098	16.19331
alpha_rarefaction_2896_0.txt	2896	0	15.21723	16.25024	15.06816	16.12555	16.13825	15.91783	13.70785	15.94443	16.4484	15.62279	15.91712	15.63157	16.29606	16.49038	15.85332	16.31102	15.95775	16.17144	16.28672	15.57	16.0666	15.88915	16.14899	16.28388	16.17778	14.41953	16.60878
alpha_rarefaction_2896_1.txt	2896	1	15.5018	15.57417	15.1315	15.70481	16.34254	15.36009	14.86229	16.27729	15.97671	15.99524	16.41415	14.9393	16.28178	15.87859	16.07401	16.17137	15.56366	16.42044	16.07706	16.05824	15.97983	15.48064	16.24306	16.07208	16.21421	14.79808	16.191
alpha_rarefaction_2896_2.txt	2896	2	15.17903	15.97595	14.43704	16.42727	16.04166	15.5413	14.62477	15.94868	15.91589	15.33458	15.56026	15.23092	16.42173	16.27228	15.6712	16.27191	15.25778	15.67713	16.39577	15.76082	16.02007	15.99412	15.48981	16.00141	16.37069	14.79507	16.27708
alpha_rarefaction_2896_3.txt	2896	3	15.21431	16.01651	14.44672	15.87131	16.24721	15.26174	13.91233	16.27872	16.22049	15.83689	16.52475	15.64607	16.56787	16.30477	15.92311	16.33367	15.5681	16.62396	16.17504	16.42244	16.07576	16.11965	15.63084	16.05906	15.62067	14.45395	16.72465
alpha_rarefaction_2896_4.txt	2896	4	15.0982	15.67751	15.75548	16.30762	15.6834	15.28685	14.07253	16.46616	16.09373	15.08532	15.11741	15.03731	15.99558	16.51477	16.28572	16.19452	16.30787	15.98404	16.59147	15.88823	15.52121	16.33748	15.94889	16.10433	15.87284	14.75568	16.41083
alpha_rarefaction_2896_5.txt	2896	5	15.60101	16.13975	15.01388	15.37084	16.10501	15.94147	15.00904	15.77442	15.82631	15.75913	15.57597	14.75258	15.73642	16.54631	16.27889	16.47604	15.48433	16.62566	16.61501	15.83825	16.39974	16.14256	16.08551	16.04766	15.92972	14.70308	16.42101
alpha_rarefaction_2896_6.txt	2896	6	15.59653	15.75579	14.74985	15.9827	16.1248	15.74249	14.90139	15.85506	16.20829	15.73273	15.00368	15.41054	16.25866	16.21572	16.36425	16.61837	16.11197	16.09002	16.7791	15.79291	16.50004	15.71315	16.10454	16.00002	16.18049	14.54774	16.44432
alpha_rarefaction_2896_7.txt	2896	7	15.59921	15.88878	14.9103	15.52367	16.03576	15.31012	13.81229	16.31996	16.60359	14.59806	15.80715	14.80907	16.09095	16.51122	16.02519	16.21638	15.83118	16.08808	16.58444	16.15901	16.03802	15.70375	16.12691	16.30081	15.5592	14.80614	16.37676
alpha_rarefaction_2896_8.txt	2896	8	15.55551	15.7017	14.96554	16.19174	16.16703	15.87958	13.66782	15.76205	16.38099	15.64667	15.85069	14.44241	16.46682	16.40409	16.049	16.2482	15.99811	16.28096	16.27309	16.4255	15.88322	15.97856	15.94674	16.16824	15.70815	14.51162	15.70255
alpha_rarefaction_2896_9.txt	2896	9	15.95084	16.3991	15.67598	15.99165	16.06723	15.52639	13.75787	15.891	16.21121	15.38841	16.08996	15.06342	15.86821	16.70193	16.09511	16.66511	15.40471	15.78172	16.08934	16.38651	15.98939	16.16665	15.90046	16.04229	15.71812	14.2639	16.25485
alpha_rarefaction_3377_0.txt	3377	0	15.65705	15.90681	15.11166	16.01048	16.43466	15.618	14.23755	16.08085	16.09781	15.75602	16.1274	14.70915	16.58229	16.60188	16.22214	16.72151	16.42552	15.80109	16.558	16.0779	16.19981	15.52182	15.91849	15.81704	15.64006	15.03854	16.45929
alpha_rarefaction_3377_1.txt	3377	1	15.61479	15.61072	15.43182	15.63073	16.1659	15.765	14.56702	16.26184	16.12437	15.84477	15.63628	15.29201	16.14371	16.7147	16.59514	16.61499	15.56336	16.06286	16.62862	16.06759	15.97385	15.66519	16.13026	16.15817	16.56354	15.11579	16.41406
alpha_rarefaction_3377_2.txt	3377	2	16.1081	15.66735	15.15476	16.03468	16.43821	15.69607	14.33981	16.58484	16.31375	15.93644	16.31159	14.83476	16.49723	16.3139	16.59353	16.43383	15.98823	16.36488	16.67407	16.54375	15.97166	15.93117	16.33957	16.36699	15.63856	14.8086	16.687
alpha_rarefaction_3377_3.txt	3377	3	15.99784	16.29558	15.91053	15.88863	16.24764	15.6871	13.5857	16.3856	16.20505	15.68192	15.72866	15.23669	16.66483	16.69647	16.41012	16.44059	16.09121	16.27503	16.34509	16.1253	16.21161	16.28708	16.19906	16.68492	16.23747	15.03492	16.53586
alpha_rarefaction_3377_4.txt	3377	4	15.88737	15.84744	15.07839	16.24843	16.01368	15.83955	14.31353	16.63149	16.17091	15.51354	16.02442	15.31577	16.7695	16.65369	16.05829	16.70287	16.15769	15.86383	16.36956	16.46385	16.3476	16.04563	16.15219	16.44841	15.25401	15.02236	16.44159
alpha_rarefaction_3377_5.txt	3377	5	15.9721	15.89732	15.03019	16.18531	16.32824	15.91068	14.30213	16.37228	16.6354	15.85252	16.27537	15.29175	16.0724	16.57619	16.52837	16.64115	16.13454	16.05607	16.01853	16.53862	16.32628	15.93719	16.29976	16.50963	16.09944	15.03041	16.37729
alpha_rarefaction_3377_6.txt	3377	6	15.52427	15.8689	15.35853	16.27093	16.09091	15.62809	14.49658	15.68081	16.46525	16.11546	15.88884	15.20807	15.99883	16.5533	16.07685	16.30247	16.05923	16.05788	15.87389	15.72725	16.73849	15.82292	16.55807	15.91599	15.76373	14.69484	16.62481
alpha_rarefaction_3377_7.txt	3377	7	15.56784	16.38222	15.20648	16.02866	16.6191	15.08513	14.55489	16.37633	15.70647	15.9401	15.78021	15.20872	16.48122	16.40673	16.45124	16.64796	16.41792	15.85521	16.454	16.08781	16.28921	15.4657	16.10099	16.37219	15.35058	15.13029	16.7614
alpha_rarefaction_3377_8.txt	3377	8	15.64537	15.68599	15.19216	15.83652	16.38087	15.8515	14.2801	16.49858	16.48922	16.03238	16.16705	15.04825	16.1396	16.64782	16.18105	16.18369	15.92024	16.19374	16.62862	16.49352	16.5327	16.11074	16.3593	16.59316	16.21369	15.04666	16.45464
alpha_rarefaction_3377_9.txt	3377	9	15.30044	15.61099	15.67756	16.19783	16.66109	15.30295	14.32396	16.38556	15.56026	15.73867	15.98238	15.11044	16.38403	16.48774	16.46194	16.6809	16.10482	16.56093	16.74045	16.50058	16.32551	16.13701	16.07261	16.30939	16.02193	15.19814	16.68565
alpha_rarefaction_3858_0.txt	3858	0	15.95287	16.05908	15.43856	16.26386	16.65963	15.88431	14.75805	16.37316	16.63569	15.99535	16.18798	15.30599	16.60931	16.43738	16.43651	16.36388	16.15196	16.24659	16.10034	16.49355	15.84415	15.80897	16.10563	15.78502	16.45435	15.24347	16.7614
alpha_rarefaction_3858_1.txt	3858	1	16.10114	15.92481	15.09345	16.10594	16.61482	15.27863	13.99669	16.39095	16.54331	16.27352	16.07762	15.87491	16.50234	16.63256	16.28012	16.7791	16.40465	16.25482	16.43866	16.29619	15.6992	16.26258	16.09994	16.01054	16.22783	15.37167	16.73445
alpha_rarefaction_3858_2.txt	3858	2	15.91946	16.19412	15.99241	16.17204	16.41074	15.7529	14.39198	16.48867	16.38625	15.9677	15.89684	15.6843	16.27336	16.54088	16.30119	16.59019	16.20055	16.36651	16.66118	16.2708	15.80623	16.13366	16.08213	16.7791	15.97762	14.56513	16.75215
alpha_rarefaction_3858_3.txt	3858	3	15.90858	16.10622	14.98583	16.19233	16.52853	16.0181	14.03152	16.54672	16.72889	16.15688	16.37249	15.57411	16.64145	16.15716	16.43094	16.63838	16.23003	16.23657	16.73668	16.33048	16.16165	16.1823	16.35894	15.99222	16.26959	14.80874	16.74226
