	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_2415_6.txt	2415	6	147.526315789	158.111111111	150.066666667	152.0	146.5	150.5	141.111111111	164.0	152.090909091	167.090909091	169.0	159.75	156.555555556	157.666666667	152.111111111	158.0	143.25	152.333333333	158.105263158	161.75	151.928571429	147.0	153.571428571	158.076923077	149.272727273	129.461538462	163.047619048
alpha_rarefaction_2415_7.txt	2415	7	157.0	154.25	168.0	162.363636364	145.5625	149.571428571	137.333333333	149.25	156.272727273	161.4	148.5	149.65	154.230769231	155.75	146.545454545	157.214285714	154.0	158.5625	160.555555556	152.8	155.214285714	153.75	152.0	148.0	147.0	133.666666667	165.125
alpha_rarefaction_2415_8.txt	2415	8	148.105263158	156.391304348	145.25	168.615384615	151.588235294	153.142857143	140.461538462	161.5	153.583333333	153.461538462	149.333333333	142.6875	154.235294118	156.461538462	144.5	156.368421053	151.0	154.333333333	156.125	159.75	158.1	158.176470588	156.5	151.0	148.0	143.769230769	169.769230769
alpha_rarefaction_2415_9.txt	2415	9	145.076923077	168.588235294	141.894736842	153.1	152.333333333	145.0	168.5	152.583333333	154.090909091	149.5625	162.2	162.0	151.882352941	160.6	144.4	153.5	146.0	157.333333333	154.0	154.176470588	152.090909091	158.769230769	147.105263158	156.5	161.25	133.066666667	157.5
alpha_rarefaction_2896_0.txt	2896	0	156.0	159.583333333	146.352941176	158.583333333	156.6875	149.5	129.928571429	156.5	152.272727273	152.0	148.875	154.5	162.142857143	154.833333333	157.8	159.0	149.5625	159.333333333	156.0	147.214285714	161.166666667	155.0	155.0	156.583333333	158.272727273	138.2	162.571428571
alpha_rarefaction_2896_1.txt	2896	1	147.5	147.666666667	154.058823529	150.461538462	154.2	155.857142857	163.090909091	164.5	154.363636364	158.5625	156.176470588	154.090909091	154.4	156.0	155.090909091	151.625	146.875	152.0	156.153846154	151.090909091	156.0	145.1	159.076923077	155.125	158.157894737	145.0	158.0
alpha_rarefaction_2896_2.txt	2896	2	150.666666667	152.928571429	155.0	158.0	152.75	150.272727273	145.461538462	159.0	151.333333333	158.230769231	154.875	148.157894737	166.5	156.111111111	152.461538462	156.5	151.1	154.5	153.4	151.928571429	154.1	157.8	148.333333333	153.0	159.5625	128.055555556	156.055555556
alpha_rarefaction_2896_3.txt	2896	3	147.928571429	166.333333333	148.2	152.0	157.2	148.75	136.076923077	168.0	152.714285714	157.1	163.461538462	152.875	156.666666667	157.153846154	153.0	152.4	149.5	158.125	156.8	160.058823529	157.0	156.4	152.272727273	153.0	148.571428571	137.55	161.333333333
alpha_rarefaction_2896_4.txt	2896	4	146.5	158.076923077	151.555555556	158.125	150.230769231	150.428571429	140.076923077	157.0	157.0	153.25	149.6	157.333333333	156.5	157.75	151.571428571	154.272727273	160.214285714	158.333333333	161.111111111	150.5	153.0	158.0	148.0	154.0	163.909090909	152.428571429	160.2
alpha_rarefaction_2896_5.txt	2896	5	153.0	165.909090909	163.25	148.647058824	159.058823529	152.769230769	142.75	162.375	151.1	155.5	147.117647059	161.076923077	155.333333333	155.25	161.8	157.571428571	150.315789474	161.5	161.6	155.6875	162.111111111	158.8	153.928571429	157.5	151.055555556	135.5625	157.4
alpha_rarefaction_2896_6.txt	2896	6	155.0	154.090909091	152.0	157.5	156.055555556	163.0	144.769230769	155.0	158.5	150.875	151.0	151.260869565	154.714285714	153.125	159.272727273	160.875	156.909090909	156.0	160.894736842	160.363636364	160.6	150.75	167.0	149.166666667	161.0	138.75	166.461538462
alpha_rarefaction_2896_7.txt	2896	7	154.0	155.055555556	139.8125	153.571428571	178.0	151.105263158	141.0	152.666666667	161.4	143.571428571	153.666666667	166.111111111	154.0	155.428571429	152.4	149.875	153.066666667	158.545454545	158.714285714	148.615384615	157.571428571	153.230769231	150.615384615	150.153846154	163.0	132.0	156.125
alpha_rarefaction_2896_8.txt	2896	8	157.6875	157.5625	154.909090909	169.0	155.333333333	158.333333333	138.230769231	156.272727273	159.5	158.272727273	151.75	141.0	155.928571429	155.142857143	159.333333333	153.363636364	150.176470588	158.75	159.5	157.090909091	151.3125	157.428571429	151.6	154.75	147.090909091	127.391304348	151.8125
